Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"8,472.00","8,479.99",432.12,1047.49
"8,480.00","8,495.99",431.12,1046.49
"8,496.00","8,519.99",430.12,1045.49
"8,520.00","8,527.99",429.12,1044.49
"8,528.00","8,543.99",428.12,1043.49
"8,544.00","8,567.99",427.12,1042.49
"8,568.00","8,575.99",426.12,1041.49
"8,576.00","8,591.99",425.12,1040.49
"8,592.00","8,615.99",424.12,1039.49
"8,616.00","8,623.99",423.12,1038.49
"8,624.00","8,639.99",422.12,1037.49
"8,640.00","8,663.99",421.12,1036.49
"8,664.00","8,671.99",420.12,1035.49
"8,672.00","8,687.99",419.12,1034.49
"8,688.00","8,711.99",418.12,1033.49
"8,712.00","8,719.99",417.12,1032.49
"8,720.00","8,735.99",416.12,1031.49
"8,736.00","8,759.99",415.12,1030.49
"8,760.00","8,767.99",414.12,1029.49
"8,768.00","8,783.99",413.12,1028.49
